pi,name,uuid,year,status,
"Shaibal Mukherjee, Abhinav Kranti, Md Arif Khan, Rohit Singh",A method of fabricating high two dimensional electron gas density yielding zinc oxide heterostructure,368230,May-21,Granted,
"Shaibal Mukherjee, Apurba K Das, Chandrabhan Patel, Biswajit Mandal, Rohit Gajanan Jadhav",Ultrasensitive NO2 sensor based on S and N doped carbon dot functionalized tungsten oxide,2.02021E+11,2021,Filed,
"V. Bhatia, and V.S. Tomar",A Software Defined Radio Module to perform an inter-system communication,381039,2021,Granted,
"Vimal Bhatia, Amit Chatterjee, Mr. Puneet Singh Thakur, and Shashi Prakash",Spoof recognition in an ear biometric system,382786,2021,Granted,
"Vimal Bhatia, Abhijeet Bishnu",Method and system for low power source spectrum sensing,382567,2021,Granted,
"Amit Chatterjee, Vimal Bhatia, and Shashi Prakash",�A fingerprint acquisition system for anti-theft fingerprint biometry and method thereof,376417,2021,Granted,
"M. Kumar, Sulabh, L. Singh, S. Jain, S. Rajput, V. Kaushik, H. C. Jha","A biochemical sensor with engineered nanophotonic structure, the process of preparation and use thereof",2.02121E+11,Mar. 2021,Granted,
"Saptarshi Ghosh, and Maharana Pratap Singh","Compact Wideband Millimeter-Wave 
Power Divider using Substrate Integrated Waveguide",2.02121E+11,Sep. 2021,Filed,
"Abhinoy Kumar Singh, Misha Rebec and Ahmad Haidar",�Sensor Signal Processing with Kalman-based Calibration,131030-247838,2021,Filed,
"Shaibal Mukherjee, Apurba K. Das, Ajay Agarwal, Biswajit Mandal, Aaryashree, Sayan Maiti",Organo-acidified zinc oxide carbon monoxide sensor,2.01921E+11,2020,Filed,
"Shaibal Mukherjee, Apurba K. Das, Ajay Agarwal, Aaryashree, Biswajit Mandal, Ankan Biswas",Hybrid mesoporous composites gas sensors,2.01921E+11,2020,Filed,
"V. Bhatia, Puneet Singh, A. Chatterjee and S. Prakash",Method and Apparatus for secure ear biomteric recognition using single shot fringe projection themography,,Jun. 2020,Filed,
"Shaibal Mukherjee, Abhinav Kranti, Rohit Singh, Md Arif Khan",A method of fabricating zinc oxide based heterostructure for high electron mobility transistor,2.01721E+11,Sep. 2018,Filed,
.Shaibal Mukherjee and Amitesh Kumar,�Dual ion beam sputtered cost-effective and non-volatile resistive memory devices,2.01621E+11,Dec. 2017,Filed,
"V. Bhatia, A. Tripathi, and A. Bapat","System, method and device for low cost identification of road congestion for traffic management",2.01621E+11,22016,Granted,
V. Bhatia and R. Mitra,"System, method and apparatus for Low Complexity NonOrthogonal Multiple Access (NOMA) receiver for mixed constellation",2.01621E+11,2016,Granted,
V. Bhatia and A. Bishnu,Method and apparatus for low complexity natural gradient based OFDM channel estimator,2.01621E+11,2016,Granted,
V. Bhatia and A. Bishnu,Method and apparatus for Detection of Active Taps Location in OFDM System,2.01621E+11,2016,Granted,
"V. Bhatia, S. Jain, and A. Tripathi",System and method for emergency services,2033/MUM/2015,2015,Granted,
"V. Bhatia, and V.S. Tomar",A multi-frequency based transceiver,2242/MUM/2015,2015,Granted,
"V. Bhatia, H. Haidery, and H. Dogra","Method and apparatus for recording, archiving, media management and playing back of a telephone call",2317/MUM/2015,2015,Granted,
"V. Bhatia, S. Kalsi, D. Singh, and S. Goyal",�Method and apparatus for managing phone/device profile based on an event,3415/MUM/2015,2015,Granted,
,,,,,
